job,marital,education,contact,duration,campaign,age,ConsumerPriceeIndex,ConsumerConfidenceIndex,y
housemaid,married,basic.4y,telephone,261,1,56,93.994,-36.4,no
services,married,high.school,telephone,149,1,57,93.994,-36.4,no
services,married,high.school,telephone,226,1,37,93.994,-36.4,no
admin.,married,basic.6y,telephone,151,1,40,93.994,-36.4,no
services,married,high.school,telephone,307,1,56,93.994,-36.4,no
services,married,basic.9y,telephone,198,1,45,93.994,-36.4,no
admin.,married,professional.course,telephone,139,1,59,93.994,-36.4,no
blue-collar,married,unknown,telephone,217,1,41,93.994,-36.4,no
technician,single,professional.course,telephone,380,1,24,93.994,-36.4,no
services,single,high.school,telephone,50,1,25,93.994,-36.4,no
blue-collar,married,unknown,telephone,55,1,41,93.994,-36.4,no
services,single,high.school,telephone,222,1,25,93.994,-36.4,no
blue-collar,single,high.school,telephone,137,1,29,93.994,-36.4,no
housemaid,divorced,basic.4y,telephone,293,1,57,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,146,1,35,93.994,-36.4,no
retired,married,basic.9y,telephone,174,1,54,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,312,1,35,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,440,1,46,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,353,1,50,93.994,-36.4,no
management,single,basic.9y,telephone,195,1,39,93.994,-36.4,no
unemployed,married,high.school,telephone,38,1,30,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,262,1,55,93.994,-36.4,no
retired,single,high.school,telephone,342,1,55,93.994,-36.4,no
technician,single,high.school,telephone,181,1,41,93.994,-36.4,no
admin.,married,high.school,telephone,172,1,37,93.994,-36.4,no
technician,married,university.degree,telephone,99,1,35,93.994,-36.4,no
technician,married,unknown,telephone,93,1,59,93.994,-36.4,no
self-employed,married,basic.9y,telephone,233,1,39,93.994,-36.4,no
technician,single,university.degree,telephone,255,2,54,93.994,-36.4,no
unknown,married,university.degree,telephone,362,1,55,93.994,-36.4,no
admin.,married,unknown,telephone,348,1,46,93.994,-36.4,no
technician,married,unknown,telephone,386,1,59,93.994,-36.4,no
blue-collar,married,unknown,telephone,73,1,49,93.994,-36.4,no
management,married,basic.4y,telephone,230,1,54,93.994,-36.4,no
blue-collar,divorced,basic.4y,telephone,208,1,54,93.994,-36.4,no
unknown,married,basic.4y,telephone,336,1,55,93.994,-36.4,no
services,married,high.school,telephone,365,1,34,93.994,-36.4,no
technician,married,basic.9y,telephone,1666,1,52,93.994,-36.4,no
admin.,married,university.degree,telephone,577,1,41,93.994,-36.4,no
technician,married,basic.4y,telephone,137,1,56,93.994,-36.4,no
management,unknown,university.degree,telephone,366,1,58,93.994,-36.4,no
entrepreneur,married,high.school,telephone,314,1,32,93.994,-36.4,no
admin.,single,professional.course,telephone,160,1,38,93.994,-36.4,no
admin.,married,university.degree,telephone,212,1,57,93.994,-36.4,no
admin.,married,university.degree,telephone,188,1,44,93.994,-36.4,no
technician,single,professional.course,telephone,22,1,42,93.994,-36.4,no
admin.,married,university.degree,telephone,616,1,57,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,178,1,40,93.994,-36.4,no
admin.,married,university.degree,telephone,355,1,35,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,225,2,45,93.994,-36.4,no
admin.,married,high.school,telephone,160,1,54,93.994,-36.4,no
housemaid,married,basic.4y,telephone,266,1,39,93.994,-36.4,no
admin.,married,high.school,telephone,253,1,60,93.994,-36.4,no
admin.,single,professional.course,telephone,179,1,53,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,269,2,55,93.994,-36.4,no
technician,married,professional.course,telephone,135,1,55,93.994,-36.4,no
management,married,university.degree,telephone,161,1,50,93.994,-36.4,no
services,married,high.school,telephone,787,1,45,93.994,-36.4,no
unemployed,married,professional.course,telephone,145,1,55,93.994,-36.4,no
technician,single,university.degree,telephone,174,1,25,93.994,-36.4,no
entrepreneur,married,university.degree,telephone,449,1,47,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,812,1,51,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,164,1,42,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,366,1,42,93.994,-36.4,no
admin.,married,high.school,telephone,357,1,48,93.994,-36.4,no
admin.,married,university.degree,telephone,232,1,37,93.994,-36.4,no
blue-collar,single,basic.9y,telephone,91,1,44,93.994,-36.4,no
admin.,married,unknown,telephone,273,1,33,93.994,-36.4,no
admin.,married,basic.9y,telephone,158,2,56,93.994,-36.4,no
blue-collar,single,basic.4y,telephone,177,1,44,93.994,-36.4,no
management,married,basic.6y,telephone,200,1,41,93.994,-36.4,no
management,divorced,university.degree,telephone,172,1,44,93.994,-36.4,no
admin.,married,university.degree,telephone,176,1,47,93.994,-36.4,no
unknown,married,unknown,telephone,211,1,57,93.994,-36.4,no
admin.,married,university.degree,telephone,214,1,37,93.994,-36.4,no
blue-collar,divorced,basic.4y,telephone,1575,1,41,93.994,-36.4,yes
technician,married,university.degree,telephone,349,1,55,93.994,-36.4,no
services,married,high.school,telephone,337,2,33,93.994,-36.4,no
management,married,unknown,telephone,272,1,55,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,208,1,42,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,193,1,50,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,212,1,51,93.994,-36.4,no
admin.,married,high.school,telephone,165,2,38,93.994,-36.4,no
entrepreneur,married,university.degree,telephone,1042,1,49,93.994,-36.4,yes
technician,single,university.degree,telephone,20,1,38,93.994,-36.4,no
admin.,divorced,high.school,telephone,246,1,31,93.994,-36.4,no
management,married,basic.6y,telephone,529,2,41,93.994,-36.4,no
admin.,married,university.degree,telephone,192,1,39,93.994,-36.4,no
technician,married,basic.9y,telephone,1467,1,49,93.994,-36.4,yes
admin.,married,high.school,telephone,188,2,34,93.994,-36.4,no
admin.,married,university.degree,telephone,180,2,35,93.994,-36.4,no
unknown,married,unknown,telephone,48,1,57,93.994,-36.4,no
admin.,married,unknown,telephone,213,2,60,93.994,-36.4,no
unemployed,married,basic.9y,telephone,545,1,33,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,583,1,42,93.994,-36.4,no
services,married,professional.course,telephone,221,1,45,93.994,-36.4,no
management,married,university.degree,telephone,426,1,42,93.994,-36.4,no
admin.,divorced,university.degree,telephone,287,1,53,93.994,-36.4,no
technician,single,professional.course,telephone,197,1,37,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,257,1,44,93.994,-36.4,no
services,married,unknown,telephone,229,1,54,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,55,3,49,93.994,-36.4,no
services,married,unknown,telephone,400,1,54,93.994,-36.4,no
admin.,divorced,university.degree,telephone,197,1,52,93.994,-36.4,no
admin.,divorced,university.degree,telephone,190,1,52,93.994,-36.4,no
services,single,high.school,telephone,21,1,43,93.994,-36.4,no
housemaid,married,basic.6y,telephone,300,2,34,93.994,-36.4,no
admin.,married,high.school,telephone,123,2,35,93.994,-36.4,no
entrepreneur,married,unknown,telephone,293,1,42,93.994,-36.4,no
technician,married,unknown,telephone,325,1,43,93.994,-36.4,no
retired,divorced,university.degree,telephone,514,1,60,93.994,-36.4,no
unemployed,married,basic.4y,telephone,849,2,58,93.994,-36.4,no
services,divorced,high.school,telephone,194,1,35,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,212,2,55,93.994,-36.4,no
management,married,university.degree,telephone,337,2,37,93.994,-36.4,no
blue-collar,married,high.school,telephone,286,1,36,93.994,-36.4,no
admin.,divorced,university.degree,telephone,247,2,52,93.994,-36.4,no
blue-collar,divorced,unknown,telephone,518,1,57,93.994,-36.4,no
admin.,married,unknown,telephone,364,1,56,93.994,-36.4,no
blue-collar,divorced,basic.4y,telephone,178,1,48,93.994,-36.4,no
blue-collar,married,high.school,telephone,98,1,40,93.994,-36.4,no
blue-collar,divorced,high.school,telephone,439,1,49,93.994,-36.4,no
services,married,high.school,telephone,139,1,41,93.994,-36.4,no
technician,married,high.school,telephone,79,1,45,93.994,-36.4,no
admin.,married,university.degree,telephone,175,1,32,93.994,-36.4,no
admin.,married,university.degree,telephone,262,2,42,93.994,-36.4,no
admin.,married,basic.6y,telephone,61,1,50,93.994,-36.4,no
technician,divorced,professional.course,telephone,78,1,31,93.994,-36.4,no
retired,married,basic.4y,telephone,102,2,56,93.994,-36.4,no
technician,married,professional.course,telephone,579,1,41,93.994,-36.4,yes
blue-collar,married,basic.6y,telephone,143,1,37,93.994,-36.4,no
technician,married,professional.course,telephone,677,1,41,93.994,-36.4,no
blue-collar,married,unknown,telephone,267,1,35,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,345,1,37,93.994,-36.4,no
management,married,university.degree,telephone,185,1,52,93.994,-36.4,no
management,divorced,university.degree,telephone,207,1,39,93.994,-36.4,no
housemaid,married,basic.4y,telephone,69,2,39,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,100,2,56,93.994,-36.4,no
services,married,high.school,telephone,125,2,34,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,461,1,45,93.994,-36.4,yes
unemployed,single,university.degree,telephone,240,1,43,93.994,-36.4,no
management,married,unknown,telephone,70,1,56,93.994,-36.4,no
management,married,university.degree,telephone,193,1,39,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,136,1,53,93.994,-36.4,no
unknown,divorced,high.school,telephone,73,1,38,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,528,1,42,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,541,1,42,93.994,-36.4,no
admin.,single,high.school,telephone,338,1,35,93.994,-36.4,no
admin.,married,university.degree,telephone,163,1,40,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,87,1,51,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,301,1,60,93.994,-36.4,no
entrepreneur,married,unknown,telephone,46,1,56,93.994,-36.4,no
services,divorced,high.school,telephone,52,1,39,93.994,-36.4,no
entrepreneur,married,unknown,telephone,204,1,56,93.994,-36.4,no
blue-collar,married,unknown,telephone,155,1,40,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,98,1,36,93.994,-36.4,no
blue-collar,married,unknown,telephone,71,1,51,93.994,-36.4,no
blue-collar,married,unknown,telephone,243,1,51,93.994,-36.4,no
technician,single,professional.course,telephone,186,2,43,93.994,-36.4,no
services,married,high.school,telephone,579,2,59,93.994,-36.4,no
management,single,university.degree,telephone,165,2,24,93.994,-36.4,no
blue-collar,single,basic.9y,telephone,163,2,37,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,46,1,40,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,559,3,42,93.994,-36.4,no
services,divorced,high.school,telephone,2033,1,39,93.994,-36.4,no
entrepreneur,married,basic.6y,telephone,85,1,37,93.994,-36.4,no
services,married,high.school,telephone,506,1,38,93.994,-36.4,no
admin.,divorced,unknown,telephone,114,2,56,93.994,-36.4,no
blue-collar,married,unknown,telephone,114,2,40,93.994,-36.4,no
management,divorced,university.degree,telephone,843,2,54,93.994,-36.4,no
blue-collar,married,high.school,telephone,181,1,43,93.994,-36.4,no
services,married,high.school,telephone,427,1,36,93.994,-36.4,no
technician,married,university.degree,telephone,292,1,45,93.994,-36.4,no
admin.,single,university.degree,telephone,192,1,42,93.994,-36.4,no
services,married,high.school,telephone,93,3,43,93.994,-36.4,no
management,married,basic.9y,telephone,128,2,46,93.994,-36.4,no
services,married,high.school,telephone,107,1,44,93.994,-36.4,no
admin.,single,basic.6y,telephone,303,2,51,93.994,-36.4,no
services,married,high.school,telephone,81,1,28,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,270,1,37,93.994,-36.4,no
technician,married,high.school,telephone,228,1,34,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,240,1,46,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,673,2,42,93.994,-36.4,yes
admin.,married,university.degree,telephone,233,3,36,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,102,1,54,93.994,-36.4,no
management,married,university.degree,telephone,461,1,57,93.994,-36.4,no
technician,married,basic.6y,telephone,250,1,51,93.994,-36.4,no
retired,married,high.school,telephone,130,1,54,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,252,1,49,93.994,-36.4,no
admin.,married,university.degree,telephone,138,1,34,93.994,-36.4,no
technician,married,professional.course,telephone,412,1,41,93.994,-36.4,no
blue-collar,single,basic.9y,telephone,179,2,38,93.994,-36.4,no
management,divorced,university.degree,telephone,19,2,45,93.994,-36.4,no
technician,married,university.degree,telephone,228,2,42,93.994,-36.4,no
blue-collar,single,basic.9y,telephone,55,1,34,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,717,1,48,93.994,-36.4,no
admin.,married,high.school,telephone,313,1,37,93.994,-36.4,no
blue-collar,single,basic.9y,telephone,289,1,34,93.994,-36.4,no
admin.,married,basic.9y,telephone,683,2,40,93.994,-36.4,no
blue-collar,married,basic.6y,telephone,1077,1,43,93.994,-36.4,no
services,married,high.school,telephone,146,2,33,93.994,-36.4,no
services,single,basic.6y,telephone,167,1,32,93.994,-36.4,no
blue-collar,married,high.school,telephone,356,2,39,93.994,-36.4,no
admin.,married,unknown,telephone,277,1,43,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,172,1,44,93.994,-36.4,no
student,single,university.degree,telephone,218,1,35,93.994,-36.4,no
student,single,university.degree,telephone,217,1,35,93.994,-36.4,no
unemployed,married,professional.course,telephone,67,1,35,93.994,-36.4,no
services,single,basic.4y,telephone,291,1,36,93.994,-36.4,no
student,single,university.degree,telephone,248,1,35,93.994,-36.4,no
student,single,basic.9y,telephone,256,1,36,93.994,-36.4,no
housemaid,divorced,university.degree,telephone,286,1,55,93.994,-36.4,no
admin.,married,university.degree,telephone,477,1,59,93.994,-36.4,no
retired,married,unknown,telephone,611,2,57,93.994,-36.4,no
blue-collar,married,professional.course,telephone,471,1,39,93.994,-36.4,no
housemaid,married,basic.4y,telephone,381,2,39,93.994,-36.4,no
blue-collar,single,unknown,telephone,251,1,30,93.994,-36.4,no
blue-collar,single,unknown,telephone,408,1,30,93.994,-36.4,no
housemaid,married,basic.4y,telephone,287,1,50,93.994,-36.4,no
services,married,high.school,telephone,322,3,40,93.994,-36.4,no
admin.,married,high.school,telephone,216,2,35,93.994,-36.4,no
technician,married,unknown,telephone,366,2,43,93.994,-36.4,no
services,single,basic.6y,telephone,210,1,36,93.994,-36.4,no
technician,married,basic.4y,telephone,288,1,46,93.994,-36.4,no
technician,married,basic.9y,telephone,168,1,40,93.994,-36.4,no
retired,married,university.degree,telephone,132,1,58,93.994,-36.4,no
technician,married,university.degree,telephone,64,2,42,93.994,-36.4,no
admin.,single,university.degree,telephone,209,2,35,93.994,-36.4,no
retired,married,basic.4y,telephone,410,3,43,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,177,1,45,93.994,-36.4,no
admin.,married,professional.course,telephone,580,2,39,93.994,-36.4,no
services,divorced,professional.course,telephone,165,1,50,93.994,-36.4,no
management,divorced,basic.4y,telephone,127,2,32,93.994,-36.4,no
admin.,married,high.school,telephone,357,1,39,93.994,-36.4,no
self-employed,married,university.degree,telephone,175,1,52,93.994,-36.4,no
admin.,married,professional.course,telephone,300,1,44,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,136,1,56,93.994,-36.4,no
admin.,married,high.school,telephone,125,2,48,93.994,-36.4,no
services,married,high.school,telephone,189,2,33,93.994,-36.4,no
management,married,university.degree,telephone,213,3,43,93.994,-36.4,no
retired,married,high.school,telephone,238,2,57,93.994,-36.4,no
technician,single,professional.course,telephone,124,1,36,93.994,-36.4,no
management,married,university.degree,telephone,18,1,34,93.994,-36.4,no
services,single,basic.9y,telephone,730,2,34,93.994,-36.4,no
technician,married,university.degree,telephone,40,1,30,93.994,-36.4,no
services,divorced,unknown,telephone,181,2,33,93.994,-36.4,no
technician,single,professional.course,telephone,79,1,32,93.994,-36.4,no
technician,single,high.school,telephone,142,2,36,93.994,-36.4,no
blue-collar,single,high.school,telephone,389,1,36,93.994,-36.4,no
services,single,high.school,telephone,702,1,33,93.994,-36.4,no
technician,divorced,professional.course,telephone,151,1,40,93.994,-36.4,no
blue-collar,married,basic.4y,telephone,211,1,41,93.994,-36.4,no
services,married,basic.6y,telephone,117,1,51,93.994,-36.4,no
technician,married,professional.course,telephone,232,3,36,93.994,-36.4,no
services,married,unknown,telephone,408,2,28,93.994,-36.4,no
services,married,high.school,telephone,370,3,53,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,179,2,58,93.994,-36.4,no
management,married,basic.9y,telephone,46,1,45,93.994,-36.4,no
technician,married,unknown,telephone,200,1,43,93.994,-36.4,no
admin.,married,high.school,telephone,50,1,33,93.994,-36.4,no
admin.,married,high.school,telephone,181,1,33,93.994,-36.4,no
blue-collar,single,basic.6y,telephone,119,1,27,93.994,-36.4,no
technician,married,high.school,telephone,361,1,42,93.994,-36.4,no
admin.,divorced,basic.9y,telephone,73,3,43,93.994,-36.4,no
admin.,married,university.degree,telephone,67,2,42,93.994,-36.4,no
blue-collar,single,basic.6y,telephone,350,1,27,93.994,-36.4,no
self-employed,single,university.degree,telephone,150,2,34,93.994,-36.4,no
student,single,university.degree,telephone,332,2,31,93.994,-36.4,no
management,divorced,university.degree,telephone,611,2,54,93.994,-36.4,no
self-employed,married,basic.4y,telephone,58,3,40,93.994,-36.4,no
unemployed,married,high.school,telephone,151,1,52,93.994,-36.4,no
management,divorced,university.degree,telephone,89,2,47,93.994,-36.4,no
housemaid,married,basic.9y,telephone,152,1,49,93.994,-36.4,no
admin.,single,high.school,telephone,611,2,32,93.994,-36.4,no
housemaid,single,high.school,telephone,110,2,49,93.994,-36.4,no
blue-collar,married,basic.9y,telephone,463,1,50,93.994,-36.4,no
